time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6,mean_fg_depar,var_fg_depar,min_fg_depar,max_fg_depar,quantile_5_fg_depar,quantile_25_fg_depar,median_fg_depar,quantile_75_fg_depar,quantile_95_fg_depar,mean_an_depar,var_an_depar,min_an_depar,max_an_depar,quantile_5_an_depar,quantile_25_an_depar,median_an_depar,quantile_75_an_depar,quantile_95_an_depar,mean_biascorr_fg,var_biascorr_fg,min_biascorr_fg,max_biascorr_fg,quantile_5_biascorr_fg,quantile_25_biascorr_fg,median_biascorr_fg,quantile_75_biascorr_fg,quantile_95_biascorr_fg,mean_obsvalue,var_obsvalue,min_obsvalue,max_obsvalue,quantile_5_obsvalue,quantile_25_obsvalue,median_obsvalue,quantile_75_obsvalue,quantile_95_obsvalue,normalized_time,cycle
20210314_030000,523,73,13,65,6,0,-0.2675,-0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,10,-0.1707,-0.1699,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,12,65,6,10,-0.0669,-0.0689,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,12,65,6,9,0.06605,0.06733,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,12,65,6,8,-0.08588,-0.08667,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,12,65,6,2,-0.5388,-0.5453,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,12,65,6,1,0.5565,0.5642,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,12,65,6,0,-0.8054,-0.8132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
20210314_030000,523,73,11,66,6,10,-0.08735,-0.08527,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,11,66,6,9,0.01377,0.016,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,11,66,6,8,-0.0986,-0.09547,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,11,66,6,0,-0.8405,-0.8422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,11,66,6,1,0.5254,0.5261,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,11,66,6,2,-0.541,-0.5419,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176,-1.687969,3.487643,-5.81969,2.118407,-5.021618,-2.751122,-1.983603,-0.523936,1.530976,-0.051759,0.320849,-1.429134,1.908566,-1.065424,-0.380383,0.042476,0.309801,0.602069,-1.775431,0.073933,-2.156972,-1.143828,-2.141996,-1.981216,-1.845807,-1.584179,-1.274153,242.190303,13.179188,232.35,251.22,236.8625,240.3625,242.18,244.2075,248.6325,0.0,3
20210314_030000,523,73,6,65,4,10,0.1268,0.1247,0.2079,0.0,0.5847,0.6873,0.6692,,,0.435169,0.443993,-0.827465,2.058483,-0.597574,-0.08135,0.377393,0.903688,1.63511,0.413384,0.38435,-0.770027,2.00742,-0.501015,-0.085525,0.387133,0.840929,1.587458,1.322792,0.071705,0.934939,1.986176,1.014483,1.137774,1.222696,1.412697,1.896175,235.170308,9.4484,226.34,240.12,228.262,234.41,236.05,236.99,238.768,0.0,3
20210314_030000,523,73,6,65,4,9,0.04786,0.03996,-0.2246,0.0,0.5384,0.9419,0.6873,,,0.435169,0.443993,-0.827465,2.058483,-0.597574,-0.08135,0.377393,0.903688,1.63511,0.413384,0.38435,-0.770027,2.00742,-0.501015,-0.085525,0.387133,0.840929,1.587458,1.322792,0.071705,0.934939,1.986176,1.014483,1.137774,1.222696,1.412697,1.896175,235.170308,9.4484,226.34,240.12,228.262,234.41,236.05,236.99,238.768,0.0,3
20210314_030000,523,73,6,65,4,8,0.1494,0.1462,0.19,0.0,0.6871,0.5384,0.5847,,,0.435169,0.443993,-0.827465,2.058483,-0.597574,-0.08135,0.377393,0.903688,1.63511,0.413384,0.38435,-0.770027,2.00742,-0.501015,-0.085525,0.387133,0.840929,1.587458,1.322792,0.071705,0.934939,1.986176,1.014483,1.137774,1.222696,1.412697,1.896175,235.170308,9.4484,226.34,240.12,228.262,234.41,236.05,236.99,238.768,0.0,3
20210314_030000,523,73,6,65,4,0,1.297,1.31,1.0,0.0,0.0,0.0,0.0,,,0.435169,0.443993,-0.827465,2.058483,-0.597574,-0.08135,0.377393,0.903688,1.63511,0.413384,0.38435,-0.770027,2.00742,-0.501015,-0.085525,0.387133,0.840929,1.587458,1.322792,0.071705,0.934939,1.986176,1.014483,1.137774,1.222696,1.412697,1.896175,235.170308,9.4484,226.34,240.12,228.262,234.41,236.05,236.99,238.768,0.0,3
20210314_030000,523,73,5,66,4,10,0.04425,0.04536,0.2079,0.0,0.5847,0.6873,0.6692,,,-0.033478,0.360169,-1.185407,1.309317,-0.83965,-0.502795,-0.094155,0.358074,1.003127,-0.03433,0.345256,-1.151465,1.293421,-0.825504,-0.465973,-0.088572,0.314747,1.002532,-0.006309,0.009397,-0.208119,0.197942,-0.156911,-0.068484,-0.021869,0.04532,0.171771,226.675909,4.767643,220.44,229.12,221.83,225.15,227.33,228.42,228.9225,0.0,3
20210314_030000,523,73,5,66,4,9,-0.00711,-0.005565,-0.2246,0.0,0.5384,0.9419,0.6873,,,-0.033478,0.360169,-1.185407,1.309317,-0.83965,-0.502795,-0.094155,0.358074,1.003127,-0.03433,0.345256,-1.151465,1.293421,-0.825504,-0.465973,-0.088572,0.314747,1.002532,-0.006309,0.009397,-0.208119,0.197942,-0.156911,-0.068484,-0.021869,0.04532,0.171771,226.675909,4.767643,220.44,229.12,221.83,225.15,227.33,228.42,228.9225,0.0,3
20210314_030000,523,73,5,66,4,8,0.07689,0.07703,0.19,0.0,0.6871,0.5384,0.5847,,,-0.033478,0.360169,-1.185407,1.309317,-0.83965,-0.502795,-0.094155,0.358074,1.003127,-0.03433,0.345256,-1.151465,1.293421,-0.825504,-0.465973,-0.088572,0.314747,1.002532,-0.006309,0.009397,-0.208119,0.197942,-0.156911,-0.068484,-0.021869,0.04532,0.171771,226.675909,4.767643,220.44,229.12,221.83,225.15,227.33,228.42,228.9225,0.0,3
20210314_030000,523,73,5,66,4,0,-0.0255,-0.02659,1.0,0.0,0.0,0.0,0.0,,,-0.033478,0.360169,-1.185407,1.309317,-0.83965,-0.502795,-0.094155,0.358074,1.003127,-0.03433,0.345256,-1.151465,1.293421,-0.825504,-0.465973,-0.088572,0.314747,1.002532,-0.006309,0.009397,-0.208119,0.197942,-0.156911,-0.068484,-0.021869,0.04532,0.171771,226.675909,4.767643,220.44,229.12,221.83,225.15,227.33,228.42,228.9225,0.0,3
20210314_030000,523,73,4,66,4,10,-0.08387,-0.08294,0.2079,0.0,0.5847,0.6873,0.6692,,,-0.590958,0.363027,-1.855579,1.36964,-1.486531,-0.991045,-0.610982,-0.230358,0.363357,-0.536242,0.342917,-1.795357,1.295937,-1.445522,-0.93526,-0.547045,-0.194533,0.385057,-1.508998,0.011174,-1.69447,-1.191381,-1.668264,-1.561869,-1.519627,-1.466806,-1.300216,215.072273,2.140836,211.85,217.78,212.2575,214.0825,215.385,216.0725,217.0575,0.0,3
20210314_030000,523,73,4,66,4,9,0.0548,0.06175,-0.2246,0.0,0.5384,0.9419,0.6873,,,-0.590958,0.363027,-1.855579,1.36964,-1.486531,-0.991045,-0.610982,-0.230358,0.363357,-0.536242,0.342917,-1.795357,1.295937,-1.445522,-0.93526,-0.547045,-0.194533,0.385057,-1.508998,0.011174,-1.69447,-1.191381,-1.668264,-1.561869,-1.519627,-1.466806,-1.300216,215.072273,2.140836,211.85,217.78,212.2575,214.0825,215.385,216.0725,217.0575,0.0,3
20210314_030000,523,73,4,66,4,8,-0.08092,-0.07944,0.19,0.0,0.6871,0.5384,0.5847,,,-0.590958,0.363027,-1.855579,1.36964,-1.486531,-0.991045,-0.610982,-0.230358,0.363357,-0.536242,0.342917,-1.795357,1.295937,-1.445522,-0.93526,-0.547045,-0.194533,0.385057,-1.508998,0.011174,-1.69447,-1.191381,-1.668264,-1.561869,-1.519627,-1.466806,-1.300216,215.072273,2.140836,211.85,217.78,212.2575,214.0825,215.385,216.0725,217.0575,0.0,3
20210314_030000,523,73,4,66,4,0,-1.472,-1.489,1.0,0.0,0.0,0.0,0.0,,,-0.590958,0.363027,-1.855579,1.36964,-1.486531,-0.991045,-0.610982,-0.230358,0.363357,-0.536242,0.342917,-1.795357,1.295937,-1.445522,-0.93526,-0.547045,-0.194533,0.385057,-1.508998,0.011174,-1.69447,-1.191381,-1.668264,-1.561869,-1.519627,-1.466806,-1.300216,215.072273,2.140836,211.85,217.78,212.2575,214.0825,215.385,216.0725,217.0575,0.0,3
20210314_030000,523,73,15,64,6,9,0.3083,0.3094,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_030000,523,73,15,64,6,8,-0.1018,-0.0972,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_030000,523,73,15,64,6,2,-0.7113,-0.7122,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_030000,523,73,15,64,6,1,0.7508,0.7517,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_030000,523,73,15,64,6,0,-1.01,-1.012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_030000,523,73,15,64,6,10,-0.2771,-0.2755,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-0.670721,3.229399,-7.620663,2.602932,-3.94735,-1.268931,-0.292789,0.344717,1.232877,-0.060488,1.001399,-4.955957,1.52166,-1.913642,-0.294314,0.120165,0.549627,0.931681,-2.385366,0.142071,-2.809584,-1.489357,-2.786657,-2.703539,-2.507316,-2.136079,-1.642803,262.427344,9.435334,252.39,267.71,257.43,260.3625,262.815,264.225,267.207,0.0,3
20210314_060000,223,3,9,403,5,1,0.36,0.3622,-1.107,0.0,0.04155,0.09889,0.0284,0.04793,,0.213563,0.039404,-0.404823,0.799531,-0.103621,0.078914,0.200891,0.34881,0.542888,-0.025166,0.023284,-0.503506,0.379291,-0.321748,-0.110489,-0.017186,0.075097,0.207957,-0.293341,0.030294,-0.525304,0.20048,-0.511708,-0.440815,-0.326417,-0.159829,0.014168,215.862208,2.0185,212.1,218.01,212.893,215.065,216.14,216.955,217.66,0.004505,6
20210314_060000,223,3,9,403,5,0,0.1045,0.1027,1.0,0.0,0.0,0.0,0.0,0.0,,0.213563,0.039404,-0.404823,0.799531,-0.103621,0.078914,0.200891,0.34881,0.542888,-0.025166,0.023284,-0.503506,0.379291,-0.321748,-0.110489,-0.017186,0.075097,0.207957,-0.293341,0.030294,-0.525304,0.20048,-0.511708,-0.440815,-0.326417,-0.159829,0.014168,215.862208,2.0185,212.1,218.01,212.893,215.065,216.14,216.955,217.66,0.004505,6
20210314_060000,223,3,9,403,5,9,0.11,0.1084,-0.4447,0.0,0.0284,-0.01521,0.3976,-0.01236,,0.213563,0.039404,-0.404823,0.799531,-0.103621,0.078914,0.200891,0.34881,0.542888,-0.025166,0.023284,-0.503506,0.379291,-0.321748,-0.110489,-0.017186,0.075097,0.207957,-0.293341,0.030294,-0.525304,0.20048,-0.511708,-0.440815,-0.326417,-0.159829,0.014168,215.862208,2.0185,212.1,218.01,212.893,215.065,216.14,216.955,217.66,0.004505,6
20210314_060000,223,3,9,403,5,10,0.1404,0.1429,-0.2103,0.0,0.04793,0.3675,-0.01236,0.2544,,0.213563,0.039404,-0.404823,0.799531,-0.103621,0.078914,0.200891,0.34881,0.542888,-0.025166,0.023284,-0.503506,0.379291,-0.321748,-0.110489,-0.017186,0.075097,0.207957,-0.293341,0.030294,-0.525304,0.20048,-0.511708,-0.440815,-0.326417,-0.159829,0.014168,215.862208,2.0185,212.1,218.01,212.893,215.065,216.14,216.955,217.66,0.004505,6
20210314_060000,223,3,9,403,5,8,-0.2934,-0.2906,-0.2047,0.0,0.09889,0.6338,-0.01521,0.3675,,0.213563,0.039404,-0.404823,0.799531,-0.103621,0.078914,0.200891,0.34881,0.542888,-0.025166,0.023284,-0.503506,0.379291,-0.321748,-0.110489,-0.017186,0.075097,0.207957,-0.293341,0.030294,-0.525304,0.20048,-0.511708,-0.440815,-0.326417,-0.159829,0.014168,215.862208,2.0185,212.1,218.01,212.893,215.065,216.14,216.955,217.66,0.004505,6
